ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_group,Metadata_gut,Neighbors_FirstClosestDistance_Expanded,Neighbors_SecondClosestDistance_Expanded
1,13,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,112.480321,114.6834486
1,14,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,75.4486319,86.19254196
1,15,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,79.53262838,82.00340612
1,16,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,68.07029928,71.67740476
1,17,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,49.13525661,66.05424904
1,18,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,52.99117228,117.5004668
1,19,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,42.02120578,49.13525661
1,20,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,42.02120578,76.58593776
1,21,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,70.91991307,75.4486319
1,22,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,57.40721063,76.70049805
1,23,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,91.45559378,97.93574422
1,24,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,52.99117228,82.29790356
1,25,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,58.06676779,68.07029928
1,26,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,48.03572978,82.00340612
1,27,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,68.10150121,86.82093999
1,28,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,93.78063602,114.6834486
1,29,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,70.91991307,82.80236882
1,30,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,57.40721063,68.55590785
1,31,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,83.32260618,97.93574422
1,32,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,46.37215589,58.06676779
1,33,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,46.37215589,48.03572978
1,34,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,70.4119761,71.79731608
1,35,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,68.55590785,76.70049805
1,36,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,82.29790356,83.74292493
1,37,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,76.87889104,82.47582157
1,38,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,76.87889104,78.3070941
1,39,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,86.65962464,90.39040343
1,40,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,70.4119761,78.74184226
1,41,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,44.13150153,100.9965602
1,42,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,74.1428089,85.64871672
1,43,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,59.20217714,60.52098977
1,44,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,101.321354,126.6684503
1,45,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,73.88225333,78.3070941
1,46,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,44.13150153,57.00235919
1,47,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,64.07082017,86.65962464
1,48,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,94.06041473,96.39508798
1,49,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,64.07082017,64.19623282
1,50,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,31.41897697,59.20217714
1,51,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,57.00235919,73.88225333
1,52,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,69.13463766,74.1428089
