ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_group,Metadata_gut,Neighbors_FirstClosestDistance_Expanded,Neighbors_SecondClosestDistance_Expanded
1,1,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Ctrl%20JPEGs/21412ctl_130%5E112_6d_12-DAPI-GFP.jpg,Ctl,12,105.5315639,118.5097284
1,2,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Ctrl%20JPEGs/21412ctl_130%5E112_6d_12-DAPI-GFP.jpg,Ctl,12,92.45181812,105.5315639
1,3,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Ctrl%20JPEGs/21412ctl_130%5E112_6d_12-DAPI-GFP.jpg,Ctl,12,87.30001117,108.4164873
1,4,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Ctrl%20JPEGs/21412ctl_130%5E112_6d_12-DAPI-GFP.jpg,Ctl,12,92.45181812,97.57424431
1,5,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Ctrl%20JPEGs/21412ctl_130%5E112_6d_12-DAPI-GFP.jpg,Ctl,12,59.49673978,79.08304868
1,6,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Ctrl%20JPEGs/21412ctl_130%5E112_6d_12-DAPI-GFP.jpg,Ctl,12,83.5128243,90.76324292
1,7,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Ctrl%20JPEGs/21412ctl_130%5E112_6d_12-DAPI-GFP.jpg,Ctl,12,77.25651888,87.30001117
1,8,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Ctrl%20JPEGs/21412ctl_130%5E112_6d_12-DAPI-GFP.jpg,Ctl,12,49.44320858,90.76324292
1,9,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Ctrl%20JPEGs/21412ctl_130%5E112_6d_12-DAPI-GFP.jpg,Ctl,12,70.46566891,88.89445332
1,10,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Ctrl%20JPEGs/21412ctl_130%5E112_6d_12-DAPI-GFP.jpg,Ctl,12,79.08304868,86.44227957
1,11,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Ctrl%20JPEGs/21412ctl_130%5E112_6d_12-DAPI-GFP.jpg,Ctl,12,70.46566891,86.30323103
1,12,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Ctrl%20JPEGs/21412ctl_130%5E112_6d_12-DAPI-GFP.jpg,Ctl,12,59.49673978,86.30323103
1,13,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Ctrl%20JPEGs/21412ctl_130%5E112_6d_12-DAPI-GFP.jpg,Ctl,12,49.44320858,87.98549266
1,14,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Ctrl%20JPEGs/21412ctl_130%5E112_6d_12-DAPI-GFP.jpg,Ctl,12,83.5128243,84.39298707
1,15,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Ctrl%20JPEGs/21412ctl_130%5E112_6d_12-DAPI-GFP.jpg,Ctl,12,83.3650387,117.8549812
1,16,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Ctrl%20JPEGs/21412ctl_130%5E112_6d_12-DAPI-GFP.jpg,Ctl,12,37.70489742,77.25651888
1,17,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Ctrl%20JPEGs/21412ctl_130%5E112_6d_12-DAPI-GFP.jpg,Ctl,12,76.31130194,101.552014
1,18,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Ctrl%20JPEGs/21412ctl_130%5E112_6d_12-DAPI-GFP.jpg,Ctl,12,37.70489742,89.08651918
