ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_group,Metadata_gut,Neighbors_FirstClosestDistance_Expanded,Neighbors_SecondClosestDistance_Expanded
1,1,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,73.66739295,93.76181139
1,2,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,63.32667886,70.61851946
1,3,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,70.61851946,74.97181479
1,4,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,48.20853581,104.9304037
1,5,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,48.20853581,63.32667886
1,6,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,73.66739295,93.80000555
1,7,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,66.74536735,71.31774261
1,8,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,45.22002355,59.8967611
1,9,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,70.59522834,77.79871247
1,10,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,58.86621714,74.97181479
1,11,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,71.31774261,75.49360846
1,12,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,66.67713792,81.0134951
1,13,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,45.22002355,62.82995233
1,14,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,59.8967611,62.82995233
1,15,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,64.68363225,120.3915331
1,16,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,77.79871247,81.2047383
1,17,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,58.86621714,60.50266137
1,18,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,47.93692465,66.74536735
1,19,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,70.59522834,76.23920683
1,20,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,68.20318203,69.29961186
1,21,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,60.50266137,67.35517398
1,22,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,64.68363225,80.71466901
1,23,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,47.93692465,61.29329725
1,24,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,64.3265949,66.21793593
1,25,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,65.56769266,82.41668485
1,26,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,60.14554938,66.21793593
1,27,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,47.44274063,70.09305059
1,28,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,58.57181357,65.71389985
1,29,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,76.23920683,77.42962633
1,30,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,48.40711111,65.56769266
1,31,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,46.79617802,92.20095769
1,32,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,61.29329725,62.39760422
1,33,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,44.75284035,47.44274063
1,34,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,51.13450452,69.20037508
1,35,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,46.79617802,79.20371668
1,36,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,51.13450452,52.91121823
1,37,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,44.75284035,49.18696928
1,38,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,60.14554938,67.52041675
1,39,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_ctrl%20replicate%20JPEGs/20117ctl_130%5E112_6d_10a-DAPI-GFP.jpg,Ctl,10,53.20096219,58.57181357
