ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_group,Metadata_gut,Neighbors_FirstClosestDistance_Expanded,Neighbors_SecondClosestDistance_Expanded
1,1,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_Exp%20replicate%20JPEGs/20117exp_130%5E20117_6d_13-DAPI-GFP.jpg,Indy OE,13,106.8417488,139.006444
1,2,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_Exp%20replicate%20JPEGs/20117exp_130%5E20117_6d_13-DAPI-GFP.jpg,Indy OE,13,106.8417488,124.2051824
1,3,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_Exp%20replicate%20JPEGs/20117exp_130%5E20117_6d_13-DAPI-GFP.jpg,Indy OE,13,90.6669248,115.1040132
1,4,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_Exp%20replicate%20JPEGs/20117exp_130%5E20117_6d_13-DAPI-GFP.jpg,Indy OE,13,101.6674781,103.4786961
1,5,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_Exp%20replicate%20JPEGs/20117exp_130%5E20117_6d_13-DAPI-GFP.jpg,Indy OE,13,55.23591189,66.61212326
1,6,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_Exp%20replicate%20JPEGs/20117exp_130%5E20117_6d_13-DAPI-GFP.jpg,Indy OE,13,90.6669248,91.16970565
1,7,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_Exp%20replicate%20JPEGs/20117exp_130%5E20117_6d_13-DAPI-GFP.jpg,Indy OE,13,27.00181357,115.1040132
1,8,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_Exp%20replicate%20JPEGs/20117exp_130%5E20117_6d_13-DAPI-GFP.jpg,Indy OE,13,27.00181357,103.4786961
1,9,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_Exp%20replicate%20JPEGs/20117exp_130%5E20117_6d_13-DAPI-GFP.jpg,Indy OE,13,55.74532825,66.61212326
1,10,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/20117/20117_Exp%20replicate%20JPEGs/20117exp_130%5E20117_6d_13-DAPI-GFP.jpg,Indy OE,13,55.23591189,84.13242565
